tensor(22.0202, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.4284, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.7157, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.9293, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.7270, device='cuda:0', grad_fn=<NegBackward0>)
tensor(23.1245, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.7854, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.5045, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.8866, device='cuda:0', grad_fn=<NegBackward0>)
tensor(23.0319, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.6206, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.8217, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.9161, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.0012, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.3689, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.8297, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.0434, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.3066, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.7185, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.1217, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.6412, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.1508, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.5857, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.2535, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.4088, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.8164, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.2856, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.6810, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.8196, device='cuda:0', grad_fn=<NegBackward0>)
tensor(23.1768, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.4329, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.1684, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.9534, device='cuda:0', grad_fn=<NegBackward0>)
tensor(23.2865, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.8703, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.1386, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.1425, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.3678, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.3090, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.0326, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.8215, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.2131, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.7400, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.4584, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.4656, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.6143, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.8007, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.4912, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.8414, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.1534, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.0230, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.2244, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.7577, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.0705, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.8452, device='cuda:0', grad_fn=<NegBackward0>)
