tensor(22.8004, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.2467, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.0263, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.1314, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.4429, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.0198, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.0493, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.1907, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.1700, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.4864, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.1394, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.6963, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.2835, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.7658, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.6245, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.7572, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.2216, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.2052, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.1251, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.5918, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.3370, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.4287, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.0998, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.6925, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.9007, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.9527, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.8928, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.0415, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.9148, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.3107, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.2042, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.4917, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.4993, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.9938, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.4732, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.3942, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.8727, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.3683, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.7166, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.5299, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.7813, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.9138, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.7840, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.3103, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.9632, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.7899, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.9011, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.0435, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.2583, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.2200, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.4796, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.3538, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.0374, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.9120, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.3739, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.5202, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.6288, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.4252, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.7586, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.6409, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.7383, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.9411, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.7296, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.7648, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.8773, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.2957, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.1418, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.4613, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.6179, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.7885, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.1383, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.1541, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.5019, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.6806, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.7211, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.9791, device='cuda:0', grad_fn=<NegBackward>)
tensor(24.0945, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.9697, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.4987, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.9818, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.1450, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.0225, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.9312, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.0381, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.0786, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.3956, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.6292, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.5863, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.1189, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.3883, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.4586, device='cuda:0', grad_fn=<NegBackward>)
